ResultType,ShortMessage,LongMessage
0,LoginSuccessful,"Login was successful"
16000,SelectUserAccount ,"SelectUserAccount - This is an interrupt thrown by Azure AD, which results in UI that allows the user to select from among multiple valid SSO sessions. This error is fairly common and may be returned to the application if prompt=none is specified."
16001,UserAccountSelectionInvalid ,"UserAccountSelectionInvalid - You'll see this error if the user selects on a tile that the session select logic has rejected. When triggered, this error allows the user to recover by picking from an updated list of tiles/sessions, or by choosing another account. This error can occur because of a code defect or race condition."
16002,AppSessionSelectionInvalid ,AppSessionSelectionInvalid - The app-specified SID requirement wasn't met.
16003,SsoUserAccountNotFoundInResourceTenant ,SsoUserAccountNotFoundInResourceTenant - Indicates that the user hasn't been explicitly added to the tenant.
17003,CredentialKeyProvisioningFailed ,CredentialKeyProvisioningFailed - Azure AD can't provision the user key.
20001,WsFedSignInResponseError ,WsFedSignInResponseError - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
20012,WsFedMessageInvalid ,WsFedMessageInvalid - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
20033,FedMetadataInvalidTenantName ,FedMetadataInvalidTenantName - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
26000,ApplicationMovedNeedsMultifactorAuth,"Due to a configuration change made by your administrator, or because you moved to a new location, you must use multi-factor authentication to access resoure"
28002,ParameterScopeInvalid,Provided value for the input parameter scope '{scope}' isn't valid when requesting an access token. Specify a valid scope.
28003,ParameterScopeEmpty,Provided value for the input parameter scope can't be empty when requesting an access token using the provided authorization code. Specify a valid scope.
40008,OAuth2IdPUnretryableServerError ,OAuth2IdPUnretryableServerError - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
40009,OAuth2IdPRefreshTokenRedemptionUserError ,OAuth2IdPRefreshTokenRedemptionUserError - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
40010,OAuth2IdPRetryableServerError ,OAuth2IdPRetryableServerError - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
40015,OAuth2IdPAuthCodeRedemptionUserError ,OAuth2IdPAuthCodeRedemptionUserError - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
50000,TokenIssuanceError ,TokenIssuanceError - There's an issue with the sign-in service. Open a support ticket to resolve this issue.
50001,InvalidResource ,InvalidResource - The resource is disabled or doesn't exist. Check your app's code to ensure that you have specified the exact resource URL for the resource you're trying to access.
50002,NotAllowedTenant ,"NotAllowedTenant - Sign-in failed because of a restricted proxy access on the tenant. If it's your own tenant policy, you can change your restricted tenant settings to fix this issue."
50003,MissingSigningKey ,"MissingSigningKey - Sign-in failed because of a missing signing key or certificate. This might be because there was no signing key configured in the app. To learn more, see the troubleshooting article for error 50003. If you still see issues, contact the app owner or an app admin."
50005,DevicePolicyError ,DevicePolicyError - User tried to log in to a device from a platform that's currently not supported through Conditional Access policy.
50006,InvalidSignature ,InvalidSignature - Signature verification failed because of an invalid signature.
50007,PartnerEncryptionCertificateMissing ,PartnerEncryptionCertificateMissing - The partner encryption certificate was not found for this app. Open a support ticket with Microsoft to get this fixed.
50008,InvalidSamlToken ,InvalidSamlToken - SAML assertion is missing or misconfigured in the token. Contact your federation provider.
50010,AudienceUriValidationFailed ,AudienceUriValidationFailed - Audience URI validation for the app failed since no token audiences were configured.
50011,InvalidReplyTo ,"InvalidReplyTo - The reply address is missing, misconfigured, or doesn't match reply addresses configured for the app. As a resolution ensure to add this missing reply address to the Azure Active Directory application or have someone with the permissions to manage your application in Active Directory do this for you. To learn more, see the troubleshooting article for error 50011."
50012,AuthenticationFailed ,"AuthenticationFailed - Authentication failed for one of the following reasons: The subject name of the signing certificate isn't authorized, A matching trusted authority policy was not found for the authorized subject name, The certificate chain isn't valid, The signing certificate isn't valid, Policy isn't configured on the tenant, Thumbprint of the signing certificate isn't authorized, Client assertion contains an invalid signature"
50013,InvalidAssertion ,InvalidAssertion - Assertion is invalid because of various reasons - The token issuer doesn't match the api version within its valid time range -expired -malformed - Refresh token in the assertion isn't a primary refresh token. Contact the app developer.
50014,GuestUserInPendingState ,"GuestUserInPendingState - The user account doesn?t exist in the directory. An application likely chose the wrong tenant to sign into, and the currently logged in user was prevented from doing so since they did not exist in your tenant. If this user should be able to log in, add them as a guest. For further information, please visit add B2B users."
50015,ViralUserLegalAgeConsentRequiredState ,ViralUserLegalAgeConsentRequiredState - The user requires legal age group consent.
50017,CertificateValidationFailed ,"CertificateValidationFailed - Certification validation failed, reasons for the following reasons:, Cannot find issuing certificate in trusted certificates list, Unable to find expected CrlSegment, Cannot find issuing certificate in trusted certificates list, Delta CRL distribution point is configured without a corresponding CRL distribution point, Unable to retrieve valid CRL segments because of a timeout issue, Unable to download CRL, Contact the tenant admin."
50020,UserUnauthorized ,"UserUnauthorized - Users are unauthorized to call this endpoint. User account '{email}' from identity provider '{idp}' does not exist in tenant '{tenant}' and cannot access the application '{appid}'({appName}) in that tenant. This account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account. If this user should be a member of the tenant, they should be invited via the B2B system. For additional information, visit 50020."
50027,InvalidJwtToken ,"InvalidJwtToken - Invalid JWT token because of the following reasons: doesn't contain nonce claim, sub claim, subject identifier mismatch, duplicate claim in idToken claims, unexpected issuer, unexpected audience, not within its valid time range, token format isn't proper, External ID token from issuer failed signature verification."
50029,Invalid URI ,Invalid URI - domain name contains invalid characters. Contact the tenant admin.
50032,WeakRsaKey ,WeakRsaKey - Indicates the erroneous user attempt to use a weak RSA key.
50033,RetryableError ,RetryableError - Indicates a transient error not related to the database operations.
50034,UserAccountNotFound ,"UserAccountNotFound - To sign into this application, the account must be added to the directory. This error can occur because the user mis-typed their username, or isn't in the tenant. An application may have chosen the wrong tenant to sign into, and the currently logged in user was prevented from doing so since they did not exist in your tenant. If this user should be able to log in, add them as a guest. See docs here: Add B2B users."
50042,UnableToGeneratePairwiseIdentifierWithMissingSalt ,UnableToGeneratePairwiseIdentifierWithMissingSalt - The salt required to generate a pairwise identifier is missing in principle. Contact the tenant admin.
50043,UnableToGeneratePairwiseIdentifierWithMultipleSalts,UnableToGeneratePairwiseIdentifierWithMultipleSalts
50048,SubjectMismatchesIssuer ,SubjectMismatchesIssuer - Subject mismatches Issuer claim in the client assertion. Contact the tenant admin.
50049,NoSuchInstanceForDiscovery ,NoSuchInstanceForDiscovery - Unknown or invalid instance.
50050,MalformedDiscoveryRequest ,MalformedDiscoveryRequest - The request is malformed.
50053,IDSLockedOrMaliciousIP,"This error can result from two different reasons: IdsLocked - The account is locked because the user tried to sign in too many times with an incorrect user ID or password. The user is blocked due to repeated sign-in attempts. See Remediate risks and unblock users. Or, sign-in was blocked because it came from an IP address with malicious activity. To determine which failure reason caused this error, sign in to the Azure portal. Navigate to your Azure AD tenant and then Monitoring -> Sign-ins. Find the failed user sign-in with Sign-in error code 50053 and check the Failure reason."
50055,InvalidPasswordExpiredPassword ,"InvalidPasswordExpiredPassword - The password is expired. The user's password is expired, and therefore their login or session was ended. They will be offered the opportunity to reset it, or may ask an admin to reset it via Reset a user's password using Azure Active Directory."
50056,InvalidOrNullPassword,Invalid or null password: password doesn't exist in the directory for this user. The user should be asked to enter their password again.
50057,UserDisabled ,UserDisabled - The user account is disabled. The user object in Active Directory backing this account has been disabled. An admin can re-enable this account through PowerShell
50058,UserInformationNotProvided ,"UserInformationNotProvided - Session information isn't sufficient for single-sign-on. This means that a user isn't signed in. This is a common error that's expected when a user is unauthenticated and has not yet signed in. If this error is encountered in an SSO context where the user has previously signed in, this means that the SSO session was either not found or invalid. This error may be returned to the application if prompt=none is specified."
50059,MissingTenantRealmAndNoUserInformationProvided ,MissingTenantRealmAndNoUserInformationProvided - Tenant-identifying information was not found in either the request or implied by any provided credentials. The user can contact the tenant admin to help resolve the issue.
50061,SignoutInvalidRequest ,SignoutInvalidRequest - Unable to complete sign out. The request was invalid.
50064,CredentialAuthenticationError ,CredentialAuthenticationError - Credential validation on username or password has failed.
50068,SignoutInitiatorNotParticipant ,SignoutInitiatorNotParticipant - Sign out has failed. The app that initiated sign out isn't a participant in the current session.
50070,SignoutUnknownSessionIdentifier ,SignoutUnknownSessionIdentifier - Sign out has failed. The sign out request specified a name identifier that didn't match the existing session(s).
50071,SignoutMessageExpired ,SignoutMessageExpired - The logout request has expired.
50072,UserStrongAuthEnrollmentRequiredInterrupt ,UserStrongAuthEnrollmentRequiredInterrupt - User needs to enroll for second factor authentication (interactive).
50074,UserStrongAuthClientAuthNRequiredInterrupt ,UserStrongAuthClientAuthNRequiredInterrupt - Strong authentication is required and the user did not pass the MFA challenge.
50076,UserStrongAuthClientAuthNRequired ,"UserStrongAuthClientAuthNRequired - Due to a configuration change made by the admin such as a Conditional Access policy, per-user enforcement, or because you moved to a new location, the user must use multi-factor authentication to access the resource. Retry with a new authorize request for the resource."
50078,UserStrongAuthExpired,"UserStrongAuthExpired- Presented multi-factor authentication has expired due to policies configured by your administrator, you must refresh your multi-factor authentication to access '{resource}'."
50079,UserStrongAuthEnrollmentRequired ,"UserStrongAuthEnrollmentRequired - Due to a configuration change made by the admin such as a Conditional Access policy, per-user enforcement, or because the user moved to a new location, the user is required to use multi-factor authentication. Either a managed user needs to register security info to complete multi-factor authentication, or a federated user needs to get the multi-factor claim from the federated identity provider."
50085,RefreshTokenNeedsSocialIDPLogin,Refresh token needs social IDP login. Have user try signing-in again with username -password
50086,SasNonRetryableError,SasNonRetryableError
50087,SasRetryableError ,SasRetryableError - A transient error has occurred during strong authentication. Please try again.
50088,LimitOnTelecomMFACallsReached,Limit on telecom MFA calls reached. Please try again in a few minutes.
50089,FlowTokenExpiredOrRevoked,"Authentication failed due to flow token expired. Expected - auth codes, refresh tokens, and sessions expire over time or are revoked by the user or an admin. The app will request a new login from the user."
50097,DeviceAuthenticationRequired ,DeviceAuthenticationRequired - Device authentication is required.
50099,PKeyAuthInvalidJwtUnauthorized ,PKeyAuthInvalidJwtUnauthorized - The JWT signature is invalid.
50105,EntitlementGrantsNotFound ,"EntitlementGrantsNotFound - The signed in user isn't assigned to a role for the signed in app. Assign the user to the app. To learn more, see the troubleshooting article for error 50105."
50107,InvalidRealmUri ,InvalidRealmUri - The requested federation realm object doesn't exist. Contact the tenant admin.
50120,ThresholdJwtInvalidJwtFormat ,ThresholdJwtInvalidJwtFormat - Issue with JWT header. Contact the tenant admin.
50124,ClaimsTransformationInvalidInputParameter ,ClaimsTransformationInvalidInputParameter - Claims Transformation contains invalid input parameter. Contact the tenant admin to update the policy.
50125,PasswordResetRegistrationRequiredInterrupt ,PasswordResetRegistrationRequiredInterrupt - Sign-in was interrupted because of a password reset or password registration entry.
50126,InvalidUserNameOrPassword ,InvalidUserNameOrPassword - Error validating credentials due to invalid username or password. The user didn't enter the right credentials. It's expected to see some number of these errors in your logs due to users making mistakes.
50127,BrokerAppNotInstalled ,BrokerAppNotInstalled - User needs to install a broker app to gain access to this content.
50128,Invalid domain name ,Invalid domain name - No tenant-identifying information found in either the request or implied by any provided credentials.
